question_all,,00:00:00:00,00:00:03:12,00:00:03:12,question,0,102,102
question_all,,00:00:03:13,00:00:11:00,00:00:07:11,question_all2,103,330,221
question_all,,00:00:11:11,00:00:21:00,00:00:09:14,question_all3,341,629,284
question_all,,00:00:21:18,00:00:26:20,00:00:05:02,question_all8,647,799,152
question_all,,00:00:30:20,00:00:34:09,00:00:03:14,question_all4,919,1028,104
question_all,,00:01:03:15,00:01:06:15,00:00:03:00,question_all5,1903,1993,90
question_all,,00:01:17:06,00:01:34:04,00:00:16:23,question_all6,2314,2821,503
question_all,,00:01:45:03,00:01:52:14,00:00:07:10,question_all7,3150,3371,220
question_all,,00:02:01:21,00:02:13:06,00:00:11:10,question_all9,3647,3992,340
question_all,,00:02:15:04,00:02:47:15,00:00:32:10,question_all10,4050,5020,969
question,,00:00:00:00,00:00:03:12,00:00:03:12,question1,0,102,102
question,,00:00:03:13,00:00:06:04,00:00:02:15,question2,103,184,75
question,,00:00:11:11,00:00:13:09,00:00:01:22,question3,341,399,52
question,,00:00:21:18,00:00:24:12,00:00:02:19,question8,647,731,79
question,,00:00:30:20,00:00:34:09,00:00:03:14,question4,919,1028,104
question,,00:01:03:15,00:01:06:15,00:00:03:00,question5,1903,1993,90
question,,00:01:17:06,00:01:20:14,00:00:03:07,question6,2314,2412,97
question,,00:01:45:03,00:01:49:02,00:00:03:23,question7,3150,3269,113
question,,00:02:01:21,00:02:06:23,00:00:05:02,question9,3647,3799,152
question,,00:02:15:04,00:02:23:04,00:00:07:24,question10,4050,4290,234
answer,,00:00:01:06,00:00:03:11,00:00:02:04,answer1,36,101,64
answer,,00:00:06:09,00:00:11:00,00:00:04:15,answer2,189,330,135
answer,,00:00:13:06,00:00:21:00,00:00:07:19,answer3,396,629,229
answer,,00:00:24:10,00:00:26:20,00:00:02:10,answer8,729,799,70
answer,,00:00:33:11,00:00:34:09,00:00:00:23,answer4,1000,1028,23
answer,,00:01:05:15,00:01:06:15,00:00:01:00,answer5,1963,1993,30
answer,,00:01:20:06,00:01:34:04,00:00:13:23,answer6,2404,2821,413
answer,,00:01:49:17,00:01:52:14,00:00:02:22,answer7,3284,3371,82
answer,,00:02:07:10,00:02:13:06,00:00:05:21,answer9,3816,3992,171
answer,,00:02:23:08,00:02:47:15,00:00:24:07,answer10,4294,5020,726
