question_all,,00:00:05:04,00:00:07:04,00:00:02:00, question_all1,154,214,60
question_all,,00:00:10:03,00:00:17:10,00:00:07:06, question_all2,303,519,216
question_all,,00:00:18:11,00:00:22:03,00:00:03:17, question_all3,550,662,107
question_all,,00:00:23:23,00:00:32:04,00:00:08:06, question_all4,712,963,246
question_all,,00:00:34:06,00:00:57:03,00:00:22:21, question_all5,1025,1711,680
question_all,,00:00:59:03,00:01:14:04,00:00:15:00, question_all6,1771,2222,450
question_all,,00:01:15:10,00:01:23:08,00:00:07:22, question_all7,2258,2496,232
question_all,,00:01:26:13,00:01:29:14,00:00:03:01, question_all8,2590,2681,91
question_all,,00:01:38:16,00:01:50:19,00:00:12:02, question_all9,2953,3316,362
question_all,,00:01:52:04,00:02:07:07,00:00:15:03, question_all10,3361,3813,453
question,,00:00:05:04,00:00:06:16,00:00:01:11,question1,154,196,41
question,,00:00:10:03,00:00:13:18,00:00:03:14,question2,303,408,104
question,,00:00:18:11,00:00:20:15,00:00:02:03,question3,550,614,63
question,,00:00:23:23,00:00:28:01,00:00:04:03,question4,712,840,123
question,,00:00:34:06,00:00:40:18,00:00:06:11,question5,1025,1217,191
question,,00:00:59:03,00:01:03:00,00:00:03:21,question6,1771,1888,111
question,,00:01:15:10,00:01:20:00,00:00:04:15,question7,2258,2398,135
question,,00:01:26:13,00:01:29:08,00:00:02:19,question8,2590,2675,79
question,,00:01:38:16,00:01:42:13,00:00:03:21,question9,2953,3070,111
question,,00:01:52:04,00:01:56:06,00:00:04:02,question10,3361,3483,122
answer,,00:00:06:24,00:00:07:04,00:00:00:04,answer1,204,214,4
answer,,00:00:13:09,00:00:17:10,00:00:04:00,answer2,399,519,120
answer,,00:00:20:20,00:00:22:03,00:00:01:08,answer3,619,662,38
answer,,00:00:28:06,00:00:32:04,00:00:03:23,answer4,845,963,113
answer,,00:00:41:09,00:00:57:03,00:00:15:19,answer5,1238,1711,469
answer,,00:01:04:08,00:01:14:04,00:00:09:20,answer6,1926,2222,290
answer,,00:01:19:16,00:01:23:08,00:00:03:16,answer7,2384,2496,106
answer,,00:01:29:05,00:01:29:14,00:00:00:09,answer8,2672,2681,9
answer,,00:01:43:13,00:01:50:19,00:00:07:05,answer9,3100,3316,215
answer,,00:01:57:01,00:02:07:07,00:00:10:05,answer10,3507,3813,305
